,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
OSR2,137.258788739585,-0.620724764718037,0.229078138141842,-2.70966391534793,0.00673514161579168,0.999306081618454
DNAJA1,4090.22337513241,0.245357075770389,0.0906242140620769,2.70741190210291,0.0067810065587592,0.999306081618454
GYPB,102.746979516634,-0.902590646795565,0.333586690633558,-2.70571540213831,0.00681574297401835,0.999306081618454
LRP4,339.205925655231,-0.622253275916889,0.23041830305847,-2.70053753394316,0.00692275252016856,0.999306081618454
ELFN2,1.26932559280691,3.04299487414209,1.12699718672466,2.70009092301802,0.00693205283298166,0.999306081618454
SYT8,7.03822736551435,-2.66246878851164,0.98841997464168,-2.69366145648446,0.00706719072904275,0.999306081618454
PPP1R7,1022.1329288461,0.232329766997048,0.0863060732209223,2.69192836988819,0.00710402012998738,0.999306081618454
TAPT1-AS1,64.908732915826,-1.07705250862375,0.401139391163225,-2.68498315635499,0.00725334615009045,0.999306081618454
CIB3,4.22463568598504,-4.5946882710746,1.71245804667686,-2.68309537859389,0.00729441836277316,0.999306081618454
OR51E1,8.8451031931697,2.13527613393283,0.796096788428598,2.68218157009227,0.00731437487073198,0.999306081618454
FBXL17,985.172445281841,-0.24118999823646,0.0899291750337116,-2.68199945285883,0.0073183579472675,0.999306081618454
MSI1,4.0298379174235,-3.05835449817397,1.14055234855531,-2.68146788882408,0.00732999488876012,0.999306081618454
ABCC8,28.4263950022597,-2.20652638253713,0.823409139922325,-2.67974482618117,0.00736783019837358,0.999306081618454
SLC25A5,815.232031149426,0.331821565514051,0.124307391396325,2.66936311499062,0.00759952426129481,0.999306081618454
DBX1,6.0784316455119,-3.13039644735549,1.17296875622575,-2.66878075885682,0.00761271240742891,0.999306081618454
SYNGAP1,2793.2727958191,-0.354458467254325,0.132922263143494,-2.66665988730327,0.00766091565163711,0.999306081618454
PSME1,3388.9786545521,0.336676760698998,0.126255012945153,2.66664073643757,0.00766135215666973,0.999306081618454
UBE2L6,779.27065248365,0.484385548118588,0.181686016571986,2.66605849617859,0.00767463378529696,0.999306081618454
DGKB,46.2661392291474,-1.20521521813392,0.452466688667983,-2.66365513377781,0.00772967615406008,0.999306081618454
GABBR1,4061.54859401792,-0.320786638506175,0.120843449136711,-2.65456374174877,0.00794110348859763,0.999306081618454
CCDC28A,577.345778041491,0.401931702899268,0.151524538901692,2.65258489359297,0.00798780383201286,0.999306081618454
